,smile,activity
1937,C1=CC=C2C(=C1)NC(=N2)[C@@H](C#N)C3=NC4=CC=CC=C4N=C3Cl,Inactive
1938,CC(C)CC(CC1=CCC2CC1C2(C)C)C3=C(C(C(=O)C(C3=O)(C)C)(C)C)O,Active
1939,C[N+]1=CC=CC2=C1OC3=CC=CC=C3C2=O.[I-],Inactive
1940,CO[C@H]1C[C@@H](OC2=C(C(=C3C(=C12)O[C@@]45[C@@]3(C(=C(C(=O)C4=CC[C@@H](O5)C6=CC=CC=C6)OC)OC)OC)O)OC)C7=CC=CC=C7,Inactive
1941,CC(CCC(=O)OC)C1CCC2[C@@]1([C@H](CC3C2[C@@H](C[C@H]4[C@@]3(CCC5(C4)OOC6(CC[C@]7([C@@H](C6)C[C@H](C8C7C[C@@H]([C@]9(C8CCC9C(C)CCC(=O)OC)C)OC(=O)C)OC(=O)C)C)OO5)C)OC(=O)C)OC(=O)C)C,Inactive
1942,C1=CC=C(C=C1)C2(C3=CC=CC=C3N(C4=C2C=C(C=C4)Cl)C5=CC=CC=C5)O,Active
1943,C/C/1=C\CCC(C(=O)C2CC(=O)C(=C)C2CC1=O)(C)O,Inactive
1944,C1=CC=C(C=C1)N2C3=NC4=CC=CC=C4N=C3C(=N2)C5=NN=C(O5)C6=CC=C(C=C6)Br,Inactive
1945,CN1C2=C(C(=O)N(C1=O)C)N(C(=N2)NCCCCl)CC(=O)NCCCCl,Inactive
1946,C1=CC=C(C=C1)C(=NC2=CC=CC=C2)C3=CNN(C3=O)C4=CC=CC=C4,Inactive
1947,CCOC1=CC=C(C=C1)N(CC(=O)N2CC(=O)NC3=C2C=C(C(=C3)C)C)C(=O)C,Inactive
1948,C1=CC=C2C(=C1)C=CC3=C2C(=O)OC3C4=CC(=CC=C4)C(F)(F)F,Inactive
1949,CN(C)CCNC(=O)OC1=C(C=CC(=C1)/C=C\C2=CC(=C(C(=C2)OC)OC)OC)OC.Cl,Active
1950,CC1=CC2=C(C=C1)[N+](=C(N=[N+]2[O-])NC(=O)C)[O-],Inactive
1951,CN(C1CCCC[C@@H]1N2CCCC2)C(=O)NC3=CC(=C(C=C3)Cl)Cl.Cl,Inactive
1952,CC[C@@]12C=CCN3[C@@H]1[C@]4(CC3)[C@H]([C@]([C@@H]2O)(C(=O)NN)O)N(C5=CC(=C(C=C45)Br)OC)C,Inactive
1953,CC1=NC=CC2=C1N(C3=C2C=CC(=C3)OCC4=CN(N=N4)C5=CC=C(C=C5)Cl)CC(C)C,Inactive
1954,COC1=C(C=C(C=C1)C(C#N)NC23CC4CC(C2)CC(C4)C3)OC,Inactive
1955,CC1=C(C(C(=C(N1)C)C(=O)NC2=CC(=O)N(C(=O)N2C)C)C3=CC(=CC=C3)[N+](=O)[O-])C(=O)NC4=CC(=O)N(C(=O)N4C)C,Inactive
1956,C1CN(CCC1C2=CC=CC=C2)C(=O)N(C3=CC=CC=C3)C(=O)C4=CC=CO4,Inactive
1957,C1=NC(=C2C(=N1)N(C(=N2)CC(=O)N)C3C(C(C(O3)CO)O)O)N,Inactive
1958,CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)OC(=O)CN(CC)CC.Cl,Active
1959,C1=CC2=C(C=C1C(F)(F)F)N3C(=C(C4=C(C3=O)C=C(C=C4)[N+](=O)[O-])C#N)N2,Inactive
1960,CC1=C2C=C[N+](=CC2=C(C3=C1NC4=C3C=C(C=C4)OC)C)C.CC(=O)[O-],Inactive
1961,CC(C)(C)C1CCC(CC1)(CC2=C(C=C(C=C2)Cl)Cl)OCCN(C)C.Cl,Inactive
1962,CC1C[C@]2(C=C(C(=O)O2)C)OC3C1[C@]4(CC[C@@]56C[C@@]57CCC(=O)C(C7CCC6C4(C3)C)(C)C)C,Inactive
1963,CC(C)(C=C)C1=C(C(=C(C(=C1)[C@@H]2COC3=C(C2=O)C=CC(=C3)O)O)O)OC,Inactive
1964,C[N+](C)(C1=C(C(=C(C(=N1)N)C#N)C#N)C#N)N.[Cl-],Inactive
1965,C1=C(C(=O)NC(=O)N1)C=C(C#N)C#N,Inactive
1966,C1=CC=C(C=C1)CC2=NNC(=O)N2/N=C/C3=CC=CC=C3O,Inactive
1967,CC(C)CC(C(=O)NC(CCC(=O)OCC1=CC=C(C=C1)[N+](=O)[O-])C(=O)OCC2=CC=C(C=C2)[N+](=O)[O-])NC(=O)OC(C)(C)C,Inactive
1968,CC1=CC(=C(N(C1=O)C)NC2=C(C=C(C=C2)I)F)C(=O)NOCCO,Active
1969,CC1C(C(C(C(O1)O[C@H]2CC[C@]3([C@@H](C2)CC[C@@H]4[C@@H]3CC[C@]5([C@@]4(CC[C@@H]5C6=CC(=O)OC6)O)C)C)O)OC)O,Active
1970,C1C2=CC3=CC=CC=C3N=C2C(N1)CC(=O)O.Br,Inactive
1971,CC1=CC=C(C=C1)C2CC3=CC(=C(C=C3OC2)O)O,Inactive
1972,C1=CC(=O)C=CC1=C(C2=CC=C(C=C2)O)C3=CC=C(C=C3)O,Inactive
1973,C1=CC=C(C=C1)C(C#N)N(CCCCCCN(C(C#N)C2=CC=CC=C2)C(=O)C3=CC=CC=C3)C(=O)C4=CC=CC=C4,Inactive
1974,CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC(=CC=C5)N(C)C)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C,Inactive
1975,C1C/C=C/[C@@H]2C[C@@H](C[C@H]2[C@@H](/C=C/C(=O)O[C@H](C1)CCC3=CC=CC4=CC=CC=C43)O)O,Active
1976,C1=CC=C(C=C1)C2=C(C(=C3C(=C2C4=CC=CC=C4)C(=O)OC35C6=C(C=C(C=C6)O)OC7=C5C=CC(=C7)O)C8=CC=CC=C8)C9=CC=CC=C9,Inactive
1977,CC(C[C@@H]1[C@@H](C(C(=O)N1C(=O)CC(C)C(Cl)(Cl)Cl)(C)C)O)C(Cl)(Cl)Cl,Inactive
1978,CN1C=CN=C1C(=O)/C=C/C2=CC=C(C=C2)CC(=O)NC3=CC=C(C=C3)C(F)(F)F,Inactive
1979,C[C@]12C3C4C=C(C=C3OC5=CC(=CC(=C51)OC6=C2C(=CC(=C6)NC(=O)C(=O)NCC7=CN=C(C=C7)C8=CC=CC=N8)O4)NC(=O)C(=O)NCC9=CN=C(C=C9)C1=CC=CC=N1)NC(=O)C(=O)NCC1=CN=C(C=C1)C1=CC=CC=N1,Inactive
1980,CC1(C2CC(ON2C(N1O)(C)C)C3=CC=NC=C3)C,Inactive
1981,C1=CC=C2C(=C1)C=C(N2)C(=O)C(=O)C3=CC4=CC=CC=C4N3,Inactive
1982,CC1=CC(=CC(=C1OC)C)C(=O)C2=C(C(=C(C=C2)OC)N(C(=O)CCl)C(=O)CCl)OC,Active
1983,CC1(C(=C(C(=N1)NC(=O)OCC2=CC=CC=C2)CCC(=O)OC)CC(=O)OC)OC,Inactive
1984,C1=CC=C(C=C1)CC2=NNC(=O)N2N3C(=O)C=CC3=O,Inactive
1985,CC1(CCCC1C(=O)O)C(=O)O.CC1(CCCC1C(=O)O)C(=O)O,Inactive
1986,CN1CCN(CC1)CCNC(=O)N2C=C(C(=N2)C3=CC(=CC(=C3)Cl)OC)C4=CC=NC=C4,Inactive
1987,CN1C2=CC=CC=C2C3=C1C4C(C5C3CCCC5)C(=O)NC4=O,Inactive
1988,C1=CC=C2C(=C1)N=C3C(=C4C=CC=CN4C3=N2)C#N,Inactive
1989,COC1=CC(=C(C=C1)C2=NC(=NC(=C2)C3=CC=CC=C3)/N=C\C4=CC=CC=C4)O,Inactive
1990,CC(C)C(C(=O)NC(CCC(=O)NCCCNC1=C2C(=C(C=C1)[N+](=O)[O-])NC3=CC=CC=C3C2=O)C(=O)N)NC(=O)C(C)OC4C(C(OC(C4O)CO)OCC5=CC=CC=C5)NC(=O)C,Inactive
1991,CC(C)(C)C1=CC2=C(C(=C1)CC3=CC(=CC(=C3O)CC4=CC(=CC(=C4O)CC5=CC(=CC(=C5O)CC6=CC(=CC(=C6O)CC7=C(C(=CC(=C7)C(C)(C)C)CC8=C(C(=CC(=C8)C(C)(C)C)CC9=C(C(=CC(=C9)C(C)(C)C)C2)O)O)O)C(C)(C)C)C(C)(C)C)C(C)(C)C)C(C)(C)C)O,Inactive
1992,COC1=CC2(CCN=C3C2=C(C4=NC=NC4=C3O)O)C=CC1=O,Inactive
1993,C1=CC(=CC(=C1)OCC2=CC=C(C=C2)CN3C=NC4=C3N=C(N=C4Cl)Cl)OCC5=CC=C(C=C5)CN6C=NC7=C6N=C(N=C7Cl)Cl,Inactive
1994,COC1=CC=C(C=C1)C(C(=O)C2=CC=C(C=C2)OC)C(=O)C(=O)NC3=CC(=C(C=C3)Cl)Cl,Inactive
1995,C[N+]1(CCCCCCC1)CCCC[N+]2(CCCCCCC2)C.[Br-],Inactive
1996,CCCN1C2=C(C3=CC=CC=C3C1=O)C(=O)C4=CC5=C(C=C42)OCO5,Inactive
1997,C1CC2C(C1)C3=C(C4C2C(=O)NC4=O)NC5=CC=CC=C53,Inactive
1998,CC1=CC(=O)NC(=O)N1/C=C\C(=O)OC,Inactive
1999,C1=CC=C(C=C1)N2C(C(=O)C2Cl)C3=CNC4=CC=CC=C43,Inactive
2000,COC1=C(C(=C2C(=C1)C=C(N2)C(=O)N3CC(C4=C3C=CC5=C4C=C(N5)C(=O)OC)CCl)OC)OC,Inactive
2001,COC1=CC(=CC(=C1OC)OC)NC2=NC3=C(C=C(C=C3)C(F)(F)F)N=C2C(=O)O,Inactive
2002,CN=C(NC#N)N(CC1=CC=CC=C1)CC2=CC=CC=C2,Inactive
2003,C[C@@H](CCCC(C)[C@H]1[C@H](C(C2[C@@]1(CCC3[C@H]2C[C@H](C4([C@@]3(CC[C@@H](C4)O)C)O)O)C)O)O)CO,Inactive
2004,CC1C(C(CC(O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O.Cl,Inactive
2005,C(C1([C@@H](C1C(=O)O)C(=O)O)Br)Br,Inactive
2006,CCN1C2=C(C=C(C=C2)C(=O)CCCN3CCCCC3)C4=C1C=CC(=C4)C(=O)CCCN5CCCCC5.Cl,Inactive
2007,CN=CN(C)C1=C2C=CC=CC2=NC3=CC=CC=C31,Inactive
2008,CCCCCC[C@@H](C)NC1=NC2=CC=CC=C2C3=C1C=CO3,Active
2009,CCOC(=O)C(=O)NC1=C(C(=CC=C1)Cl)C,Inactive
2010,CC(=C)[C@@H]1CC[C@]2([C@H]1[C@H]3CC[C@H]4[C@]([C@@]3(CC2)C)(CC[C@@H]5[C@@]4(C/C(=C/C6=CC=NC=C6)/[C@@H](C5(C)C)O)C)C)C(=O)N7CCN(CC7)C,Inactive
2011,CC1C2=C(C=C(C=C2)OCOC)OC1(C3=C(C=C(C=C3)OCOC)O)O,Inactive
2012,CC1=C(NC(=C1C(=O)NC[C@@H](CN2CCOCC2)O)C)/C=C\3/C4=C(C=CC(=C4)F)NC3=O,Inactive
2013,C1=CC(=C2C(=O)C3=C([N+]2=O)C=C(C=C3)[N+](=O)[O-])C=CC1=C4C(=O)C5=C(N4[O-])C=C(C=C5)[N+](=O)[O-],Inactive
2014,CC1=C(C(=NC(=N1)N)N)N2CCN(CC2)CC3=CC=CC=C3,Inactive
2015,COC1=C(C=C2C(=C1)C(=O)N3CCC[C@H]3C=N2)OCCCCC(=O)NC4=CC5=C(C=CC6=CC=CC=C65)C7=CC=CC=C74,Inactive
2016,C1=CC=C(C=C1)/C=C\2/C3=CC=CC=C3NC2=O,Inactive
2017,COC1=CC=C(C=C1)NC2=C(C=CC=N2)/C=C/C(=O)C3=CC(=C(C(=C3)OC)OC)OC,Inactive
2018,C1CCN(C1)C2=CC3=C(C=C2)N=C(C=C3N)C4=CC(=CC=C4)OC(F)(F)F,Active
2019,CCCCNC(=O)C1=C(C=CC(=C1)NCC2=C(C=CC(=C2)O)O)O,Inactive
2020,CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)C2=CC=C(C=C2)C3=CC(=C(C(=C3)C(C)(C)C)O)C(C)(C)C,Inactive
2021,CC1CC(N(O1)C(=O)C2=CC=C(C=C2)Br)NC3=CC=C(C=C3)Br,Inactive
2022,C1CN(C[C@H]1N)C2=C(C=C3C4=C2OC5=C(N4C=C(C3=O)C(=O)O)C=C6C=CC7=CC=CC=C7C6=C5)F,Inactive
2023,COC(=O)CC1C(=O)N(C(=N1)NC#N)CCC2=CNC3=CC=CC=C32,Inactive
2024,CC1CC(=O)NC2=C(N1C(=O)C3CC3)C=CC(=C2)Cl,Inactive
2025,C1=CC=C2C(=C1)C(OC2=O)C(C(=O)C3=CC=CC=C3F)C(=O)C(=O)NC4=CC=C(C=C4)Br,Inactive
2026,C1=CC=C2C(=C1)C=C(C(=O)C2=O)NC3=CC=CC=C3C(=O)CC(=O)C(=O)NC4=C(C(=O)C5=CC=CC=C5C4=O)Cl,Inactive
2027,CCCC(CCC)C(=O)O,Inactive
2028,C1=CC=C(C(=C1)/C=C/C(=O)C2=C(C=C(C=C2)Cl)Cl)Cl,Inactive
2029,CCC1=C([C@@H]2CCCCC[C@H](C2C1=O)C(=O)OC)C(=O)C,Inactive
2030,CCCCCC(CCCCC)(CCCCCCCCC1=C(C2=CC=CC=C2C(=O)C1=O)O)O,Inactive
2031,CC(C)OCN1COCN=C1NC#N,Inactive
2032,CCCCCCCCCCCC1N=C(N=C(N1C2=CC(=CC=C2)Br)N)N.Cl,Inactive
2033,C#CCNCCCN1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C(=O)N(C4=O)CCCNCC#C)C1=O.Cl,Active
2034,CN1C(=O)NN(C1=O)C2=CC3=CC=CC=C3C=C2,Inactive
2035,COC1=C(C=C(C=C1)C2=CC(C3=C(O2)C4=CC=CC=C4OC3=O)C5=CC6=C(C=C5)OCO6)OC,Inactive
2036,COC1=CC2=C(C=C1)N(CC(=O)N2)C3=NC(=NC4=CC=CC=C43)NC5CC5,Active
2037,COC1=CC2=C(C=C1)N3C=NC4=C3C5=C(C=C4)N(CCN=C25)CCO,Active
2038,CC(C)[C@@H](COC)N=CC1=CC=C(C=C1)OC,Inactive
2039,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H](O[C@@H]([C@H]2OC(=O)/C=C/C3=CC(=C(C=C3)O)OC)COC4C(C(CO4)(CO)O)O)OCCC5=CC(=C(C=C5)O)O)O)O)O)O,Inactive
2040,CC(=C[C@H]1C2=C(C[C@@H]3N1C(=O)[C@@H]4CCCN4C3=O)C5=C(N2)C=C(C=C5)OC)C,Inactive
2041,CC1=NC2=CC=CC=C2C(=C1C(=O)/C=C/C3=CC=CC=C3)/C=C/C4=CC=C(C=C4)Br,Inactive
2042,CC1=CC=CC=C1C2=CC(=O)C3=C(O2)C(=C(C(=C3)C)C)C(=O)O,Inactive
2043,CC1OC(CC(C1O)N)OC2C3=C(C(=C4C(=O)C5=C(C(=O)C4=C3O)C(=CC=C5)OC)O)CC(C2)(O)/C(=N/NC(=O)CCCCC(=O)N/N=C(/C6(CC7=C(C(=C8C(=O)C9=C(C(=O)C8=C7O)C=CC=C9OC)O)C(C6)OC1OC(C(C(C1)N)O)C)O)\C)/C,Active
2044,C[N+]1=CC2=CC(=C(C=C2C3=C1C4=CC5=C(C=C4C=C3)OCO5)OC)OC.[Cl-],Inactive
2045,CN(CCO)C1=NC=C(C=C1)N2CC3=CC=CC=C3OC4=C2C(=O)C5=C(C=CC(=C5C4=O)O)O,Active
2046,C1=CC=C2C(=C1)C(=O)/C(=C/3\C4=CC=CC=C4N5C3=NC6=CC=CC=C6C5=O)/N2,Inactive
2047,CCC(C)C(C(=O)N/N=C\C1=C2CN3C(=CC4=C(C3=O)COC(=O)[C@@]4(CC)O)C2=NC5=CC=CC=C51)N.Cl,Inactive
2048,COC1=CC2=NC3=C(NN=C3N=C2C=C1)N,Inactive
2049,CCOC(=O)C1=C2NC(=O)C3=CC=CC=C3N2C=N1,Inactive
2050,CC(=O)OC1CC[C@@]2(C3CC[C@]4(C(C3CC=C2C1)C/C(=C\C5=CC(=C(C=C5)OCCN6CCCC6)OC)/C4=O)C)C,Inactive
2051,C1=CC=C(C(=C1)N2C(=O)C(=C(C2=O)Cl)NC3=CC(=CC=C3)O)Cl,Inactive
2052,C1=CC=C(C=C1)C(C2=C(C3=CC=CC=C3C=C2)O)(C4=C(C5=CC=CC=C5C=C4)O)O,Inactive
2053,C[C@H]1C(=C([C@H]2C#C/C=C\C#C[C@H]3[C@]14[C@]2(O4)C5=CC(=C6C(=C5N3)C(=O)C7=CC=CC=C7C6=O)O)OC)C(=O)OC,Active
2054,C=C(C=O)C1=C2C(=NC3=CC=CC=C31)C(=O)C4=CC=CC=C4C2=O,Inactive
2055,COC1=CC=C(C=C1)CN2C=C3C(=C2C4=CC(=C(C(=C4)OC)OC)OC)CCC5=C3ON=C5,Active
2056,CC1=CC[C@]2(CC[C@@](C2C(C1)OC(=O)C3=CC=CC=C3)(C(C)C)O)C,Inactive
2057,CC1=NC2=C(C=C(C=C2)Br)C(=O)N1C3=CC=C(C=C3)N=N/C(=C(\C)/O)/C(=O)C,Inactive
2058,CC1=C(OC2=C1C3=NN=NN3C(=N2)N(C)C)C,Inactive
2059,CC(=O)OC1CC2C(C(=O)C=CC2(C3C1(C45C(O4)C(=O)OC(C5(CC3)C)C6=COC=C6)C)C)(C)C,Inactive
2060,CN(C)CC1CCC/C(=C\C2=CC=C(C=C2)N(C)C)/C1=O.Cl,Inactive
2061,CCC12CCCC(=O)N1C(C(O2)C3=CC=CC=C3)CO,Inactive
2062,C[N+]1(C2CC3=CC=CC=C3C1CC4=CC=CC=C24)C.[I-],Inactive
2063,CN(C)CC(=O)N1CCC2=CC(=C(C=C21)NC3=NC4=C(C=CN4)C(=N3)N5CCC6=CC=CC=C65)OC,Inactive
2064,CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)C(=C2C=C(C(=O)C(=C2)C(C)(C)C)C(C)(C)C)C3=CC=C(C=C3)C4=C5C=CC(=C(C6=NC(=C(C7=CC=C(N7)C(=C8C=CC4=N8)C9=CC=C(C=C9)C(=C1C=C(C(=O)C(=C1)C(C)(C)C)C(C)(C)C)C1=CC(=C(C(=C1)C(C)(C)C)O)C(C)(C)C)C1=CC=C(C=C1)C(=C1C=C(C(=O)C(=C1)C(C)(C)C)C(C)(C)C)C1=CC(=C(C(=C1)C(C)(C)C)O)C(C)(C)C)C=C6)C1=CC=C(C=C1)C(=C1C=C(C(=O)C(=C1)C(C)(C)C)C(C)(C)C)C1=CC(=C(C(=C1)C(C)(C)C)O)C(C)(C)C)N5,Inactive
2065,CCCC(=O)NC1=CN(C(=C1)/C=C/C(=O)N2C[C@@H]3C[C@]34C2=CC(=O)C5=C4C(=CN5)C)C,Active
2066,CCC1=C(C(=NC(=N1)N)N)C2=CC(=C(C=C2)Cl)N=CN(C)C,Inactive
2067,C1=CC(=CC=C1C#N)NC2=NC3=C(C(=O)N2)NC=N3,Inactive
2068,C1CN2C3=CC=CC4=C3C(=CC=C4)NC2=NC1=O,Inactive
2069,C1CC2=CC3=C(C=C2C1)N(C4=C(C3C5=CC(=CC=C5)C(F)(F)F)C(=O)OC4)CCO,Active
2070,C1C/C(=C/2\C3=CC=CC=C3NC2=O)/C4=C1C=C(C=C4)O,Inactive
2071,CCCC[C@@H]1[C@H]([C@@H](OC(=O)[C@H]([C@H](OC1=O)C)NC(=O)C2=C(C(=CC=C2)NC=O)OC)C)OC(=O)CC(C)C.CCCC[C@@H]1[C@H]([C@@H](OC(=O)[C@H]([C@H](OC1=O)C)NC(=O)C2=C(C(=CC=C2)NC=O)OC)C)OC(=O)C(C)CC,Inactive
2072,CC1(CC2(C=CC3=C(C2(C(=O)C1O)O)C(=O)C4=C(C3=O)C(=CC=C4)O)O)O,Inactive
2073,C1CCC2C(C1)CCCN2CC(C3=CC4=CC=CC=C4C5=CC=CC=C53)O.Cl,Inactive
2074,CC(=O)NC(CCCOC(=O)C)C(=O)NC(CCCOC(=O)C)C(=O)NC(CCCOC(=O)C)C(=O)NC(CC1=CC=C(C=C1)[N+](=O)[O-])C(=O)NCC(=O)OCC2=CC=CC=C2,Inactive
2075,CCN1CCC(C(C1)C(=O)C2=CC=C(C=C2)OC3=CC=CC=C3)(C4=CC=C(C=C4)OC5=CC=CC=C5)O.Cl,Inactive
2076,C/C/1=C/C(=O)/C=C(\[C@]2([C@@H]([C@H](C[C@H](O2)[C@]34[C@H](O3)[C@@H](C1)OC4=O)C(=C)C)O)O)/C,Inactive
2077,CC1(C=CC2=C(O1)C3=C(C(=C(C=C3)OC)OC)N(C2=O)C)C,Inactive
2078,C1C[C@H](N(C1)C(=O)C2=C(C=C(C=C2)[N+](=O)[O-])N)CO,Inactive
2079,CC1=CC2=CC=CC=C2N1CC(=O)NCC(C)C,Inactive
2080,CC1=CC(=C(C(=O)O1)/C(=N/NC)/C)O,Inactive
2081,C1=CC=C(C=C1)C(=O)NC2=C(N=C(N2C(=O)C3=CC=CC=C3)C#N)C#N,Inactive
2082,CC1(CC2CCC(C1)N2C)O,Inactive
2083,C1COCCN1/C(=C(\C#N)/C(=O)NC2=CC=CC=C2)/N,Inactive
2084,CN(C)CCNC(=O)C1=C2C(=C(C=C1)NCCCN(C)CCCNC3=C4C5=C(C=C3)C(=O)N(C(=O)N5C6=CC=CC=C6C4=O)CCN(C)C)C(=O)C7=CC=CC=C7N2,Active
2085,CC1=C(C(=C(C(=N1)C)N=O)C2=CC=CC=C2C(F)(F)F)C(=O)OC,Inactive
2086,CN1C(CC(CC1C2=CC=CC=C2)(C#C)O)C3=CC=CC=C3.Cl,Inactive
2087,CN1C/C=C/CCOC2=CC=CC(=C2)C3=NC(=NC=C3)NC4=CC=CC(=C4)C1,Active
2088,CN(C)C1=CC=C(C=C1)/C=C\2/C(=O)C3=CC=CC=C3O2,Inactive
2089,CC(=O)OCCOCN1C=C(C2=CC=CC=C21)C=O,Inactive
2090,C1=CC=NC(=C1)C2=NC(=CC=C2)C3=CC=CC=N3,Active
2091,CC[C@H](C)[C@H]1C(=O)NCC(=O)N([C@H](C(=O)NCC(=O)N([C@H](C(=O)N([C@H](C(=O)N[C@H](C(=O)C(C(=O)N[C@@H](C(=O)NCCC(=O)O1)C)(C)C)C)CC2=CC=C(C=C2)OC)C)C(C)C)C)CC(C)C)C,Inactive
2092,COC1=CC=C(C=C1)CCN2CCN(CC2)CCCC3=CC=CC=C3.C(=O)(C(=O)O)O,Inactive
2093,CCOC1=C(C=CC(=C1)C(C)(C)C)C2=N[C@@H]([C@@H](N2C(=O)N3CCN(CC3)CC#CC4=C5CN(C(=O)C5=CC=C4)[C@@H]6CCC(=O)NC6=O)C7=CC=C(C=C7)Cl)C8=CC=C(C=C8)Cl,Inactive
2094,C/C/1=C\C2C(C(C/C(=C\CC1)/C)OC(=O)/C(=C/CO)/CO)C(=C)C(=O)O2,Inactive
2095,C1CCN2CCCC(C2C1)COC(=O)C3=CC=CC=C3C(=O)O,Inactive
2096,C1=CC2[C@H]3[C@@H](C1C4C2C5(C(=C([C@@]4(C5(Cl)Cl)Cl)Cl)Cl)Cl)C(=O)C=CC3=O,Inactive
2097,COC1=C(C=C2C(=C1)C3=C(C4=CC5=C(C=C4C3=O)OCO5)N(C2=O)CCCCOC(=O)C(Cl)(Cl)Cl)OC,Inactive
2098,CNC1=C(C=CC(=C1)[N+](=O)[O-])C(=O)N2CCC[C@H]2CO,Inactive
2099,C[C@@H]1[C@H](OC1=O)[C@H](CC(=C)CCCC#C)OCC2=CC=CC=C2,Inactive
2100,C/C=C\C(CC(=O)NCCC1=CNC2=CC=CC=C21)CC(=O)OC,Inactive
2101,COC1=CC=C(C=C1)/C=N/NC(=O)O,Inactive
2102,C1=CC=C2C(=C1)N3C=C(C=CC3N2CC(=O)O)N.Br,Inactive
2103,COC1=CC(=CC(=C1OC)NC(=O)/C=C/C2=CC(=C(C(=C2)OC)OC)OC)/C=C\C3=CC(=C(C(=C3)OC)OC)OC,Inactive
2104,C[N+](C)(CCCNC1=C2C(=NC3=CC=CC=C31)C=CC=C2[N+](=O)[O-])[O-].Cl,Active
2105,CC1C(C(CC(O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N6CCOCC6C#N)O,Active
2106,C1=CC=C(C=C1)N2C(=O)C(C(=N2)N)C(=O)CCC(=O)NC3=CC=CC(=C3)C(F)(F)F,Inactive
2107,CC1CN1C(=O)CCC(=O)OC,Inactive
2108,CC(C(=O)NCC(OC)OC)NC(=O)/C=C/C1=CC=CC=C1,Inactive
2109,C1C2CC(=O)N3C2[C@@H](C4C1O4)C5=CC6=C(C=C5C3=O)OCO6,Inactive
2110,C1=CC=C2C(=C1)C=CC=C2C(CC(=O)O)(C3=CC=CC=C3C(=O)O)O,Inactive
2111,CCN1C(CCN2C3=C(C=C(C=C31)Br)NC2=O)C,Inactive
2112,C1=CC(=CC=C1N2C=C(C(=N2)C3=NNC(=O)O3)O)Cl,Active
2113,CC1(CC23CC(C4=C2C(=CC=C4)OCC5=NC6=C(C=C5)C=CC7=C6N=C(COC8=CC=CC1=C38)C=C7)(C)C)C,Inactive
2114,CC1=CC=C(C=C1)C(=O)N/N=C(/C2=CC=C(C=C2)N(C)C)\N=NC3=CC=C(C=C3)OC,Inactive
2115,C1C/C=C/[C@@H]2C[C@@H](C[C@H]2[C@@H](/C=C/C(=O)O[C@H](C1)CCC3=CC=CC=C3)O)O,Active
2116,CC1=CC=C(C=C1)NC2=NC3=CC=CC=C3C(=O)N2N,Inactive
2117,C/C(=N\NC1=NC2=CC=CC=C2N1C)/C3=NC=CN=C3,Active
2118,CC1=C2C=C[C@H]3[C@@]4(C[C@H]([C@@H]([C@]4(CC(=O)[C@]3(C2=CC(=C1O)OC5C(C(C(C(O5)CO)O)O)O)C)C)[C@](C)(C(=O)CCC(C)(C)O)O)O)C,Inactive
2119,COCCN1C2=CC=CC=C2N=C1NC3=CC=C(C=C3)C(=O)NO,Inactive
2120,CC1=C(C2=CC=CC=C2N1)CCCO,Inactive
2121,C[C@@H]1[C@H]2[C@H](C=C3[C@@]2([C@@H](C[C@H]4[C@H]3CC[C@@H]5[C@@]4(CC6=C(C5)N=C7C[C@]8([C@@H](CC[C@@H]9[C@@H]8C[C@H]([C@]2(C9=C[C@H]3[C@]2([C@@H]([C@@]2(O3)CC[C@](O2)(C)CO)C)O)C)O)CC7=N6)C)C)O)C)O[C@]11CCC(O1)(C)C,Active
2122,CN(C1=CC=C(C=C1)/C=C/C2=CC=C(C=C2)/C=C/C3=CC=C(C=C3)N(C)C)C,Inactive
2123,CN(C)CCCNC1=C2C3=C(C=C1)N=CN3C4=C(C2=O)C=C(C=C4)OC.Cl,Inactive
2124,CC1C(C(C(C(O1)C2=C3C(=C(C=C2)O)C(=CC4=C3OC(=O)C5=C4C(=CC(=C5)C=C)OC)OC)O)(C)O)O,Active
2125,C1C[C@@H]2[C@@]3(CCC4(CC3C1)OCCO4)CC(=O)O2,Inactive
2126,CC1=C2C=CN=CC2=C(C3=C1N(C4=C3C=C(C=C4)CO)C)C,Active
2127,COC1=NC(=NC(=N1)C2=CC(=CC=C2)F)OC,Inactive
2128,C1=CC(=CC2=NC3=C(C=C21)NC4=C3C=CC(=C4)N)N,Active
